"pop2023","pop2022","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","rank","density"
917527,903211,874579,731424,0.01585,"NC",3712000,2404032,"Charlotte","2",0,795744000,5151780,307.238,1.989,35.2079,-80.8301,"charlotte-nc",16740,15,2986
907802,901082,887642,820445,0.00746,"IN",1836003,2395424,"Indianapolis","0",0,936465000,16419900,361.571,6.34,39.7767,-86.1459,"indianapolis-in",26900,16,2511
894584,887711,873965,805235,0.00774,"CA",667000,2411786,"San Francisco","2",0,121478000,479115000,46.903,184.987,37.7272,-123.032,"san-francisco-ca",41860,17,19073
775523,762687,737015,608660,0.01683,"WA",5363000,2411856,"Seattle","2",0,217201000,150761000,83.862,58.209,47.6194,-122.351,"seattle-wa",42660,18,9248
750130,738594,715522,600158,0.01562,"CO",820000,2410324,"Denver","2",0,397025000,4245400,153.292,1.639,39.7618,-104.881,"denver-co",19740,19,4893
715913,707091,689447,601222,0.01248,"TN",4752006,2405092,"Nashville","0",0,1231650000,56229800,475.543,21.71,36.1718,-86.785,"nashville-tn",34980,20,1505
715891,707109,689545,601723,0.01242,"DC",1150000,2390665,"Washington","2",0,158340000,18687200,61.136,7.215,38.9042,-77.0165,"washington-dc",47900,21,11710
711372,701266,681054,579999,0.01441,"OK",4055000,2411311,"Oklahoma City","2",0,1570680000,37116500,606.445,14.331,35.4671,-97.5137,"oklahoma-city-ok",36420,22,1173
693062,687257,675647,617594,0.00845,"MA",2507000,619463,"Boston","2",0,125197000,106914000,48.339,41.28,42.3386,-71.0182,"boston-ma",,23,14338
687722,684753,678815,649121,0.00434,"TX",4824000,2410414,"El Paso","2",0,666715000,2089730,257.42,0.807,31.8478,-106.431,"el-paso-tx",21340,24,2672
673122,666249,652503,583776,0.01032,"OR",4159000,2411471,"Portland","2",0,345558000,29925600,133.421,11.554,45.5369,-122.65,"portland-or",38900,25,5045
659348,653533,641903,583756,0.0089,"NV",3240000,2411630,"Las Vegas","2",0,367175000,138524,141.767,0.053,36.2335,-115.264,"las-vegas-nv",29820,26,4651
628970,630348,633104,646889,-0.00219,"TN",4748000,2405068,"Memphis","2",0,821950000,23284400,317.357,8.99,35.1028,-89.9774,"memphis-tn",32820,27,1982
616710,624177,639111,713777,-0.01196,"MI",2622000,1626181,"Detroit","2",0,359269000,10807700,138.715,4.173,42.383,-83.1022,"detroit-mi",19820,28,4446
575133,578658,585708,620961,-0.00609,"MD",2404000,1702381,"Baltimore","2",0,209651000,28758700,80.947,11.104,39.3,-76.6105,"baltimore-md",12580,29,7105
571939,573700,577222,594833,-0.00307,"WI",5553000,1583724,"Milwaukee","2",0,249115000,1634100,96.184,0.631,43.0633,-87.9667,"milwaukee-wi",33340,30,5946
570172,568301,564559,545852,0.00329,"NM",3502000,2409678,"Albuquerque","2",0,484883000,4290890,187.215,1.657,35.1048,-106.647,"albuquerque-nm",10740,31,3046
556339,551595,542107,494665,0.0086,"CA",627000,2410546,"Fresno","2",0,297136000,3127480,114.725,1.208,36.7827,-119.794,"fresno-ca",23420,32,4849
549382,547131,542629,520116,0.00411,"AZ",477000,2412104,"Tucson","2",0,616454000,819364,238.014,0.316,32.153,-110.871,"tucson-az",46060,33,2308
542481,536635,524943,466488,0.01089,"CA",664000,2411751,"Sacramento","2",0,253119000,5591300,97.73,2.159,38.5666,-121.469,"sacramento-ca",40900,34,5551
523824,517302,504258,439041,0.01261,"AZ",446000,2411087,"Mesa","2",0,357639000,1955880,138.085,0.755,33.402,-111.718,"mesa-az",38060,35,3793
522580,517750,508090,459787,0.00933,"MO",2938000,2395492,"Kansas City","2",0,815551000,10593100,314.886,4.09,39.1252,-94.5503,"kansas-city-mo",28140,36,1660
522328,514457,498715,420003,0.0153,"GA",1304000,2403126,"Atlanta","2",0,351557000,2684130,135.737,1.036,33.7629,-84.4227,"atlanta-ga",12060,37,3848
509178,501469,486051,408958,0.01537,"NE",3137000,2396064,"Omaha","2",0,365144000,9338770,140.983,3.606,41.2631,-96.052,"omaha-ne",36540,38,3612
497720,491467,478961,416427,0.01272,"CO",816000,2410198,"Colorado Springs","2",0,505047000,937374,195,0.362,38.8673,-104.761,"colorado-springs-co",17820,39,2552
486796,480419,467665,403892,0.01327,"NC",3755000,2404590,"Raleigh","2",0,377844000,2830540,145.886,1.093,35.8302,-78.6415,"raleigh-nc",39580,40,3337
468086,467638,466742,462257,0.00096,"CA",643000,2410866,"Long Beach","2",0,131302000,75937500,50.696,29.32,33.7781,-118.167,"long-beach-ca",31080,41,9233
465914,463766,459470,437994,0.00463,"VA",5182000,1498559,"Virginia Beach","2",0,633829000,654687000,244.723,252.776,36.78,-76.0252,"virginia-beach-va",47260,42,1904
455622,450630,440646,390724,0.01108,"CA",653000,2411292,"Oakland","2",0,144763000,56965800,55.893,21.995,37.7698,-122.226,"oakland-ca",41860,43,8152
455075,450797,442241,399457,0.00949,"FL",1245000,2404247,"Miami","2",0,93230500,51999600,35.996,20.077,25.7752,-80.2086,"miami-fl",33100,44,12642
444168,439430,429954,382578,0.01078,"MN",2743000,2395345,"Minneapolis","2",0,139858000,9027530,54,3.486,44.9633,-93.2683,"minneapolis-mn",33460,45,8225
420246,414649,403455,347483,0.0135,"CA",603526,2409774,"Bakersfield","2",0,387871000,3792000,149.758,1.464,35.3536,-119.037,"bakersfield-ca",12540,46,2806
419414,417298,413066,391906,0.00507,"OK",4075000,2412110,"Tulsa","2",0,511465000,11126700,197.478,4.296,36.1279,-95.9023,"tulsa-ok",46140,47,2124
404615,398497,386261,325078,0.01535,"CO",804000,2409757,"Aurora","2",0,399562000,1650190,154.272,0.637,39.688,-104.69,"aurora-co",19740,48,2623
402915,400032,394266,365438,0.00721,"TX",4804000,2409731,"Arlington","2",0,248067000,9470270,95.779,3.656,32.7007,-97.1247,"arlington-tx",19100,49,4207
402080,400564,397532,382368,0.00378,"KS",2079000,485662,"Wichita","2",0,418704000,11667800,161.662,4.505,37.6906,-97.3458,"wichita-ks",48620,50,2487
399734,394809,384959,335709,0.01247,"FL",1271000,2405568,"Tampa","2",0,295302000,160099000,114.017,61.815,27.9679,-82.4746,"tampa-fl",45300,51,3506
396048,392031,383997,343829,0.01025,"LA",2255000,545142,"New Orleans","2",0,438831000,467268000,169.434,180.413,30.0534,-89.9345,"new-orleans-la",35380,52,2337
365367,367786,372624,396815,-0.00658,"OH",3916000,1085963,"Cleveland","2",0,201227000,12336400,77.694,4.763,41.4785,-81.6794,"cleveland-oh",17460,53,4703
355077,353706,350964,337256,0.00388,"HI",1571550,2630783,"Honolulu","5",0,156807000,20487500,60.544,7.91,21.3243,-157.848,"honolulu-hi",,54,5865
349992,348936,346824,336265,0.00303,"CA",602000,2409704,"Anaheim","2",0,130329000,1567020,50.32,0.605,33.8236,-118.016,"anaheim-ca",31080,55,6955
336260,326730,307670,212375,0.02917,"CA",636770,2410116,"Irvine","2",0,169953000,808586,65.619,0.312,33.6784,-117.771,"irvine-ca",,56,5124
335574,329586,317610,257729,0.01817,"NV",3231900,2410741,"Henderson","2",0,274750000,1272340,106.082,0.491,36.0102,-115.036,"henderson-nv",29820,57,3163
330601,327924,322570,295803,0.00816,"KY",2146027,2405089,"Lexington","U",0,734616000,4922120,283.637,1.9,38.0407,-84.4583,"lexington-ky",30460,58,1166
329534,326624,320804,291707,0.00891,"CA",675000,2411987,"Stockton","2",0,161026000,7985700,62.172,3.083,37.9763,-121.313,"stockton-ca",44700,59,5300
328354,321427,307573,238300,0.02155,"FL",1253000,2404443,"Orlando","2",0,286346000,21332100,110.559,8.236,28.4246,-81.227,"orlando-fl",36740,60,2970
323749,344794,386884,597337,-0.06104,"KY",2148006,1967434,"Louisville","0",0,682291000,30626100,263.434,11.825,38.1654,-85.6474,"louisville-ky",31140,61,1229
321872,318431,311549,277140,0.01081,"NJ",3451000,885317,"Newark","2",0,62531400,4509800,24.144,1.741,40.7242,-74.1726,"newark-nj",35620,62,13331
321658,320393,317863,305215,0.00395,"TX",4817000,2410234,"Corpus Christi","2",0,413630000,852166000,159.703,329.023,27.7543,-97.1734,"corpus-christi-tx",18580,63,2014
319465,316819,311527,285068,0.00835,"MN",2758000,2396511,"St. Paul","2",0,134622000,10925900,51.978,4.219,44.9489,-93.1041,"st-paul-mn",33460,64,6146
318337,317224,314998,303871,0.00351,"CA",662000,2410965,"Riverside","2",0,210458000,801713,81.258,0.31,33.9381,-117.393,"riverside-ca",40140,65,3918
313028,311791,309317,296943,0.00397,"OH",3915000,1086201,"Cincinnati","2",0,201594000,4472880,77.836,1.727,39.1402,-84.5058,"cincinnati-oh",17140,66,4022
307846,304909,299035,269666,0.00963,"NC",3728000,2403745,"Greensboro","2",0,334284000,13555700,129.068,5.234,36.0951,-79.827,"greensboro-nc",24660,67,2385
305937,307367,310227,324528,-0.00465,"CA",669000,2411814,"Santa Ana","2",0,70864700,79932,27.361,0.031,33.7363,-117.883,"santa-ana-ca",,68,11181
305904,301419,292449,247597,0.01488,"NJ",3436000,885264,"Jersey City","2",0,38185600,16550000,14.744,6.39,40.7114,-74.0648,"jersey-city-nj",35620,69,20748
305130,311038,322854,381931,-0.01899,"PR",7276770,2414943,"San Juan","6",0,102391000,17802900,39.533,6.874,18.4064,-66.064,"san-juan-pr",41980,70,7718
302152,302425,302971,305704,-0.0009,"PA",4261000,1214818,"Pittsburgh","2",0,143424000,7688210,55.376,2.968,40.4398,-79.9763,"pittsburgh-pa",38300,71,5456
300892,297622,291082,258379,0.01099,"NE",3128000,2395713,"Lincoln","2",0,249217000,3524100,96.223,1.361,40.809,-96.6789,"lincoln-ne",30700,72,3127
300060,294542,283506,228330,0.01873,"NC",3719000,2403521,"Durham","2",0,290650000,2164130,112.221,0.836,35.9811,-78.9029,"durham-nc",20500,73,2674
296262,298034,301578,319294,-0.00595,"MO",2965000,767557,"St. Louis","2",0,159915000,11006000,61.744,4.249,38.6357,-90.2446,"st-louis-mo",41180,74,4798
293189,290624,285494,259841,0.00883,"TX",4858016,2411437,"Plano","2",0,185656000,904814,71.682,0.349,33.0508,-96.7479,"plano-tx",,75,4090
291073,291131,291247,291826,-0.0002,"AK",203000,2419025,"Anchorage","3",0,4420590000,614472000,1706.8,237.249,61.1743,-149.284,"anchorage-ak",11260,76,171
287945,283959,275987,236123,0.01404,"AZ",412000,2409433,"Chandler","2",0,168669000,182929,65.124,0.071,33.2828,-111.852,"chandler-az",,77,4421
285756,279810,267918,208453,0.02125,"AZ",427400,2412682,"Gilbert","4",0,177348000,527034,68.475,0.203,33.3102,-111.743,"gilbert-az",,78,4173
284958,281801,275487,243916,0.0112,"CA",613392,2409461,"Chula Vista","2",0,128569000,6360330,49.641,2.456,32.6277,-117.015,"chula-vista-ca",,79,5740
283461,281757,278349,261310,0.00605,"NY",3611000,978764,"Buffalo","2",0,104578000,31344700,40.378,12.102,42.8925,-78.8597,"buffalo-ny",15380,80,7020
280829,277166,269840,233209,0.01322,"WI",5548000,1583625,"Madison","2",0,205486000,56879000,79.339,21.961,43.0878,-89.4299,"madison-wi",31540,81,3540
276198,271641,262527,216961,0.01678,"NV",3251800,2411273,"North Las Vegas","2",0,253859000,112001,98.015,0.043,36.2857,-115.094,"north-las-vegas-nv",,82,2818
275847,271953,264165,225221,0.01432,"NV",3260600,2410923,"Reno","2",0,281646000,7338580,108.744,2.833,39.5491,-119.85,"reno-nv",39900,83,2537
268801,264762,256684,216290,0.01526,"TX",4837000,2410117,"Irving","2",0,173684000,2569520,67.06,0.992,32.8577,-96.97,"irving-tx",,84,4008
266946,265926,263886,253691,0.00384,"IN",1825000,2394798,"Fort Wayne","2",0,286546000,562505,110.636,0.217,41.0882,-85.1439,"fort-wayne-in",23060,85,2413
265969,267603,270871,287208,-0.00611,"OH",3977000,1086537,"Toledo","2",0,208465000,8657580,80.489,3.343,41.6641,-83.5819,"toledo-oh",45780,86,3304
265412,262655,257141,229573,0.0105,"TX",4845000,2410892,"Lubbock","2",0,348931000,3227290,134.723,1.246,33.5668,-101.888,"lubbock-tx",31180,87,1970
262370,261016,258308,244769,0.00519,"FL",1263000,2405401,"St. Petersburg","2",0,160228000,197264000,61.864,76.164,27.7609,-82.6434,"st-petersburg-fl",45300,88,4241
260938,259027,255205,236091,0.00738,"TX",4841464,2411626,"Laredo","2",0,273873000,3805100,105.743,1.469,27.5604,-99.4892,"laredo-tx",29700,89,2468
257585,254864,249422,222209,0.01068,"VA",5116000,1498558,"Chesapeake","2",0,876738000,32210000,338.51,12.436,36.6794,-76.3018,"chesapeake-va",,90,761
255836,244501,221831,108481,0.04636,"NV",3223770,2408084,"Enterprise","5",0,132424000,0,51.129,0,36.0163,-115.221,"enterprise-nv",,91,5004
255524,253531,249545,229617,0.00786,"NC",3775000,2405771,"Winston-Salem","2",0,343469000,3117860,132.614,1.204,36.1027,-80.261,"winston--salem-nc",49180,92,1927
254805,252645,248325,226721,0.00855,"AZ",427820,2410596,"Glendale","2",0,159523000,1036610,61.592,0.4,33.5344,-112.414,"glendale-az",,93,4137
251760,249846,246018,226876,0.00766,"TX",4829000,2410572,"Garland","2",0,147783000,313575,57.06,0.121,32.9098,-96.6303,"garland-tx",,94,4412
248555,246157,241361,217385,0.00974,"AZ",465000,2411845,"Scottsdale","2",0,476525000,1188550,183.987,0.459,33.6843,-111.861,"scottsdale-az",38060,95,1351
247949,244847,238643,207627,0.01267,"VA",5103000,2389148,"Arlington","5",0,67333000,273562,25.997,0.106,38.8783,-77.1007,"arlington-va",47900,96,9538
244687,241686,235684,205671,0.01242,"ID",1608830,2409876,"Boise","2",0,216714000,2489870,83.674,0.961,43.6021,-116.231,"boise-id",14260,97,2924
244378,239143,228673,176320,0.02189,"CA",669088,2411819,"Santa Clarita","2",0,183254000,162849,70.755,0.063,34.4141,-118.495,"santa-clarita-ca",,98,3454
236565,237045,238005,242803,-0.00202,"VA",5157000,1498557,"Norfolk","2",0,137981000,111702000,53.275,43.128,36.923,-76.2446,"norfolk-va",47260,99,4440
235430,233788,230504,214089,0.00702,"CA",626000,2410545,"Fremont","2",0,200633000,26291600,77.465,10.151,37.501,-122.084,"fremont-ca",,100,3039
235010,233003,228989,208916,0.00861,"WA",5367000,2411956,"Spokane","2",0,178086000,1907180,68.759,0.736,47.6669,-117.433,"spokane-wa",44060,101,3418
233330,231090,226610,204214,0.00969,"VA",5167000,1789073,"Richmond","2",0,155200000,6854940,59.923,2.647,37.5314,-77.476,"richmond-va",40060,102,3894
226864,227066,227470,229493,-0.00089,"LA",2205000,2403821,"Baton Rouge","2",0,223903000,5708640,86.449,2.204,30.4422,-91.1309,"baton-rouge-la",12940,103,2624
226757,223037,215597,178395,0.01668,"NV",3268585,2408797,"Spring Valley","5",0,86125900,0,33.253,0,36.0987,-115.262,"spring-valley-nv",,104,6819
225755,224537,222101,209924,0.00542,"CA",665000,2411777,"San Bernardino","2",0,160860000,875506,62.108,0.338,34.1411,-117.295,"san-bernardino-ca",40140,105,3635
225631,223536,219346,198397,0.00937,"WA",5370000,2412025,"Tacoma","2",0,128876000,32804900,49.759,12.666,47.2522,-122.46,"tacoma-wa",42660,106,4534
225565,217213,200509,116989,0.03845,"TX",4827684,2410549,"Frisco","2",0,176443000,1431230,68.125,0.553,33.1554,-96.8226,"frisco-tx",,107,3311
225476,221986,215006,180105,0.01572,"AL",137000,2404746,"Huntsville","2",0,555197000,3528660,214.363,1.362,34.7013,-86.6729,"huntsville-al",26620,108,1052
223654,221924,218464,201165,0.0078,"CA",648354,2411130,"Modesto","2",0,111309000,4740720,42.977,1.83,37.6375,-121.003,"modesto-ca",33700,109,5204
222641,222797,223109,224669,-0.0007,"FL",1230000,2404689,"Hialeah","2",0,55895700,3198200,21.581,1.235,25.8699,-80.3029,"hialeah-fl",,110,10317
217343,216273,214133,203433,0.00495,"IA",1921000,2394522,"Des Moines","2",0,228385000,6420720,88.18,2.479,41.5726,-93.6102,"des-moines-ia",19780,111,2465
216926,212901,204851,164603,0.01891,"FL",1258715,2404558,"Port St. Lucie","2",0,308733000,4194420,119.202,1.619,27.2806,-80.3883,"port-st-lucie-fl",38940,112,1820
216246,214687,211569,195976,0.00726,"NY",3684000,979660,"Yonkers","2",0,46651500,5916220,18.012,2.284,40.9459,-73.8674,"yonkers-ny",,113,12006
214565,208146,195308,131117,0.03084,"TX",4845744,2411064,"McKinney","2",0,173373000,1916550,66.94,0.74,33.2011,-96.6642,"mckinney-tx",,114,3205
214159,211612,206518,181045,0.01204,"MA",2582000,619493,"Worcester","2",0,96762100,2811330,37.36,1.085,42.2695,-71.8078,"worcester-ma",,115,5732
213215,211688,208634,193365,0.00721,"CA",649270,2411159,"Moreno Valley","2",0,132755000,549563,51.257,0.212,33.9233,-117.206,"moreno-valley-ca",,116,4160
212089,210857,208393,196069,0.00584,"CA",624680,2410517,"Fontana","2",0,111555000,0,43.072,0,34.109,-117.463,"fontana-ca",,117,4924
212034,210330,206922,189885,0.0081,"GA",1319000,2404111,"Columbus","2",0,560679000,11737100,216.479,4.532,32.5102,-84.8749,"columbus-ga",17980,118,979
211556,211480,211328,210565,0.00036,"NY",3663000,979426,"Rochester","2",0,92634700,3640300,35.766,1.406,43.1699,-77.6169,"rochester-ny",40380,119,5915
210883,210089,208501,200564,0.00378,"NC",3722920,2403604,"Fayetteville","2",0,382923000,4738400,147.847,1.83,35.0828,-78.9735,"fayetteville-nc",22180,120,1426
210493,208868,205618,189372,0.00778,"NV",3271400,2410035,"Sunrise Manor","5",0,86444700,0,33.376,0,36.1785,-115.049,"sunrise-manor-nv",,121,6307
205929,201958,194016,154305,0.01966,"FL",1210275,2403990,"Cape Coral","2",0,274405000,34816600,105.948,13.443,26.6432,-81.9974,"cape-coral-fl",15980,122,1944
205312,204405,202591,193524,0.00444,"AR",541000,2404939,"Little Rock","2",0,310777000,7665230,119.992,2.96,34.724,-92.3576,"little-rock-ar",30780,123,1711
204399,202012,197238,173372,0.01182,"KS",2053775,485639,"Overland Park","2",0,194716000,1194800,75.18,0.461,38.889,-94.6906,"overland-park-ks",,124,2719
204106,200243,192517,153888,0.01929,"SD",4659020,1267566,"Sioux Falls","2",0,202612000,1363810,78.229,0.527,43.5395,-96.732,"sioux-falls-sd",43620,125,2609
203953,203329,202081,195844,0.00307,"GA",1304204,2405078,"Augusta","0",0,782887000,10820500,302.274,4.178,33.3655,-82.0734,"augusta-ga",12260,126,675
203707,202379,199723,186440,0.00656,"UT",4967000,2411771,"Salt Lake City","2",0,286707000,1216720,110.698,0.47,40.7785,-111.93,"salt-lake-city-ut",41620,127,1840
203311,202895,202063,197899,0.00205,"CA",654652,2411347,"Oxnard","2",0,68706200,32114700,26.528,12.4,34.1994,-119.208,"oxnard-ca",37100,128,7664
203303,202333,200393,190695,0.00479,"TX",4803000,2409694,"Amarillo","2",0,263516000,4049640,101.744,1.564,35.1989,-101.832,"amarillo-tx",11100,129,1998
202310,200240,196100,175396,0.01034,"TX",4830464,2410632,"Grand Prairie","2",0,187139000,23043300,72.255,8.897,32.6861,-97.0208,"grand-prairie-tx",,130,2800
202181,201093,198917,188040,0.00541,"MI",2634000,1626373,"Grand Rapids","2",0,115919000,2268060,44.756,0.876,42.9612,-85.6556,"grand-rapids-mi",24340,131,4517
202061,198369,190985,154065,0.01861,"AZ",454050,2411401,"Peoria","2",0,455811000,8208020,175.989,3.169,33.7865,-112.308,"peoria-az",,132,1148
201327,200455,198711,189992,0.00435,"CA",636000,2410811,"Huntington Beach","2",0,69936400,3455840,27.003,1.334,33.698,-118.004,"huntington-beach-ca",,133,7456
200606,199127,196169,181376,0.00743,"FL",1270600,2405563,"Tallahassee","2",0,260226000,8345630,100.474,3.222,30.4551,-84.2534,"tallahassee-fl",45220,134,1997
199651,196739,190915,161791,0.0148,"WA",5374060,2412146,"Vancouver","2",0,126246000,9593980,48.744,3.704,45.6372,-122.597,"vancouver-wa",38900,135,4096
199055,199571,200603,205764,-0.00259,"AL",151000,2404289,"Montgomery","2",0,414093000,5965790,159.882,2.303,32.3472,-86.2661,"montgomery-al",33860,136,1245
197989,197507,196543,191719,0.00244,"CA",630000,2410597,"Glendale","2",0,78919000,330545,30.471,0.128,34.1814,-118.246,"glendale-ca",,137,6498
197283,198433,200733,212237,-0.0058,"AL",107000,2403868,"Birmingham","2",0,378334000,6593180,146.076,2.546,33.5274,-86.799,"birmingham-al",13820,138,1351
194801,193512,190934,178042,0.00666,"RI",4459000,1220076,"Providence","2",0,47670300,5654660,18.406,2.183,41.8231,-71.4188,"providence-ri",39300,139,10584
194301,193114,190740,178874,0.00615,"TN",4740000,2404842,"Knoxville","2",0,255664000,14322100,98.713,5.53,35.9707,-83.9493,"knoxville-tn",28940,140,1968
190254,189082,186738,175023,0.0062,"TX",4810768,2409924,"Brownsville","2",0,342712000,35635800,132.322,13.759,25.9957,-97.4509,"brownsville-tx",15180,141,1438
187932,186208,182760,165521,0.00926,"FL",1224000,2403640,"Fort Lauderdale","2",0,89577600,4435590,34.586,1.713,26.1412,-80.1467,"fort-lauderdale-fl",33100,142,5434
187906,187353,186247,180719,0.00295,"VA",5156000,1498555,"Newport News","2",0,178689000,131135000,68.992,50.632,37.0761,-76.522,"newport-news-va",47260,143,2724
187877,188741,190469,199110,-0.00458,"OH",3901000,1086993,"Akron","2",0,160405000,884027,61.933,0.341,41.0805,-81.5214,"akron-oh",10420,144,3034
186568,182619,174721,135234,0.02162,"NC",3710740,2406229,"Cary","4",0,152098000,2807500,58.725,1.084,35.7814,-78.819,"cary-nc",,145,3177
186248,184361,180587,161719,0.01024,"AZ",473000,2412045,"Tempe","2",0,103541000,643414,39.977,0.248,33.3884,-111.932,"tempe-az",,146,4659
185125,183783,181099,167674,0.0073,"TN",4714000,2404035,"Chattanooga","2",0,370273000,19989100,142.963,7.718,35.066,-85.2484,"chattanooga-tn",16860,147,1295
184620,185427,187041,195111,-0.00435,"AL",150000,2404278,"Mobile","2",0,361212000,105131000,139.465,40.591,30.6684,-88.1002,"mobile-al",33660,148,1324
184077,185249,187593,199311,-0.00633,"LA",2270000,2405463,"Shreveport","2",0,278064000,39380900,107.361,15.205,32.4669,-93.7922,"shreveport-la",43340,149,1715
183057,180746,176124,153015,0.01279,"CA",622020,2410425,"Elk Grove","2",0,108864000,429692,42.033,0.166,38.4146,-121.385,"elk-grove-ca",,150,4355
182795,180748,176654,156185,0.01133,"OR",4123850,2410460,"Eugene","2",0,114316000,178992,44.138,0.069,44.0551,-123.117,"eugene-or",21660,151,4141
181805,179715,175535,154637,0.01163,"OR",4164900,2411764,"Salem","2",0,126110000,1418530,48.691,0.548,44.9239,-123.023,"salem-or",41420,152,3734
181659,184852,191238,223167,-0.01727,"NV",3254600,2409023,"Paradise","5",0,121035000,0,46.732,0,36.0807,-115.137,"paradise-nv",29820,153,3887
181220,180189,178127,167815,0.00572,"CA",670098,2411827,"Santa Rosa","2",0,110124000,451570,42.519,0.174,38.4458,-122.706,"santa-rosa-ca",42220,154,4262
178667,177533,175265,163924,0.00639,"CA",653896,2411323,"Ontario","2",0,129403000,75071,49.963,0.029,34.0376,-117.604,"ontario-ca",40140,155,3576
178580,176892,173516,156633,0.00954,"CA",640130,2411620,"Lancaster","2",0,244187000,681671,94.281,0.263,34.6936,-118.175,"lancaster-ca",,156,1894
177556,174974,169810,143986,0.01476,"CO",827425,2410526,"Fort Collins","2",0,148102000,3282220,57.182,1.267,40.5482,-105.065,"fort-collins-co",22660,157,3105
177207,176289,174453,165269,0.00521,"CA",659451,2411514,"Rancho Cucamonga","2",0,103902000,24723,40.117,0.01,34.1233,-117.564,"rancho-cucamonga-ca",,158,4417
176859,173480,166722,132929,0.01948,"TN",4715160,2404061,"Clarksville","2",0,255882000,1764730,98.796,0.681,36.5664,-87.3452,"clarksville-tn",17300,159,1790
176162,175464,174068,167086,0.00398,"CA",653322,2411301,"Oceanside","2",0,106851000,2334140,41.256,0.901,33.2246,-117.306,"oceanside-ca",,160,4270
176107,174464,171178,154750,0.00942,"FL",1255775,2404502,"Pembroke Pines","2",0,84623300,5412080,32.673,2.09,26.0147,-80.3402,"pembroke-pines-fl",,161,5390
175334,177070,180542,197899,-0.0098,"IL",1703012,2394031,"Aurora","2",0,116572000,2420400,45.009,0.935,41.7635,-88.2901,"aurora-il",,162,3896
174460,172790,169450,152750,0.00966,"CA",655156,2411359,"Palmdale","2",0,274736000,633934,106.076,0.245,34.591,-118.105,"palmdale-ca",,163,1645
172270,172163,171949,170883,0.00062,"CA",629000,2410568,"Garden Grove","2",0,46509200,45894,17.957,0.018,33.7788,-117.96,"garden-grove-ca",,164,9593
172080,171112,169176,159498,0.00566,"MO",2970000,2395942,"Springfield","2",0,213394000,1519590,82.392,0.587,37.1942,-93.2913,"springfield-mo",44180,165,2089
168585,166708,162954,144186,0.01126,"CA",633000,2410724,"Hayward","2",0,117941000,47363900,45.537,18.287,37.6287,-122.102,"hayward-ca",41860,166,3702
